change,comapnyName,ltp,new52WHL,pChange,prev52WHL,prevClose,prevHLDate,series,symbol
68.8,INDO-MIM Limited,1062.0,1064.0,6.927104309303262,1028.5,993.2,10-Sep-2026,EQ,INDOMIM
28.7,IPCA Laboratories Limited,1999.0,2038.0,1.4566309699030604,2014.0,1970.3,17-Sep-2026,EQ,IPCALAB
2.43,Iris Clothings Limited,64.98,66.3,3.884892086330935,65.0,62.55,07-Sep-2026,EQ,IRISDOREME
23.0,JSW Infrastructure Limited,349.65,356.95,7.041175570182152,355.8,326.65,13-Jul-2026,EQ,JSWINFRA
72.7,Jyoti CNC Automation Limited,1053.55,1065.0,7.411938624662283,1058.85,980.85,08-Sep-2026,EQ,JYOTICNC
1.95,Kamdhenu Limited,41.05,41.05,4.987212276214834,40.95,39.5,08-Sep-2026,BE,KAMDHENU
-2.0,Karamtara Engineering Limited,350.0,377.9,-0.5681818181818182,352.0,352,17-Sep-2026,EQ,KARAMTARA
0.6,Kataria Industries Limited,149.85,150.0,0.4020100502512563,150.0,149.25,17-Sep-2026,SM,KATARIA
-3.45,OnEMI Technology Solutions Limited,356.5,373.0,-0.9584664536741214,366.8,359.95,17-Sep-2026,EQ,KISSHT
7.41,Kopran Limited,276.0,282.1,2.7588517815257454,274.78,268.59,16-Sep-2026,EQ,KOPRAN
-3.25,Kross Limited,238.8,248.77,-1.3426977897128693,243.8,242.05,17-Sep-2026,EQ,KROSS
5.9,Laurus Labs Limited,1954.0,1982.0,0.30285919613982853,1981.8,1948.1,11-Sep-2026,EQ,LAURUSLABS
41.45,Lenskart Solutions Limited,721.4,725.0,6.096036473270093,703.5,679.95,10-Sep-2026,EQ,LENSKART
0.05,Zerodha Fund House - Zerodha Nifty 1D Rate Liquid ETF,116.0,116.01,0.043122035360069,115.96,115.95,17-Sep-2026,EQ,LIQUIDCASE
0.43,Shriram Mutual Fund -SHRIRAM NIFTY 1D RATE LIQUID ETF,1122.15,1122.15,0.03833398709125272,1121.74,1121.72,17-Sep-2026,EQ,LIQUIDSHRI
178.4,Macpower CNC Machines Limited,2100.0,2149.0,9.283930058284763,2050.0,1921.6,28-Aug-2026,EQ,MACPOWER
